ID,Name,Pos,tier,tierValue,recommendedDrawWeight,Positive,Negative,Neutral,years active,scout hint,extraHint1,extraHint2
,Kareem Abdul-Jabbar,C,HALL_OF_FAMER,5,0.05,Played all 82 games in each of his first two seasons.,Missed 20 games after breaking his hand in a fight.,"Practiced yoga, martial arts and meditation to extend his career.",1969-1989,Appeared opposite Bruce Lee in Game of Death.,Won a record six MVP awards.,Passed Wilt with a skyhook to become the career scoring leader.
,Shaquille O'Neal,C,HALL_OF_FAMER,5,0.05,Recorded 10 assists in an NBA game.,Made exactly one three-pointer in 19 NBA seasons.,Lived on a German army base when LSU’s coach met him at 13.,1992-2011,Released an RIAA platinum rap album during his NBA career.,Dropped 61 points and 23 rebounds on his birthday.,Won three straight Finals MVPs during the Lakers three-peat.
,Hakeem Olajuwon,C,HALL_OF_FAMER,5,0.05,"Led the NCAA in rebounds, blocks and FG% in one season.",Reached multiple Final Fours without winning an NCAA title.,Began as a soccer goalkeeper and handball player.,1984-2002,Recorded 18/16/10/11 in a quadruple-double.,"First player to win MVP, DPOY and Finals MVP together.",His Dream Shake helped a sixth seed repeat as champion.
,Wilt Chamberlain,C,HALL_OF_FAMER,5,0.05,Scored 52 points in his first varsity college game.,Shot barely above 50% from the line for his career.,Spent a season playing for the Harlem Globetrotters.,1959-1973,"Never fouled out in 1,045 NBA games.",Once led the entire NBA in total assists.,Scored 100 in one game and averaged 50.4 for a season.
,Bill Russell,C,HALL_OF_FAMER,5,0.05,Was ranked the seventh-best high jumper in the world in 1956.,Never averaged 19 PPG in an NBA season.,Received only one college scholarship offer.,1956-1969,Won Olympic gold before making his NBA debut.,Became the first Black head coach in major U.S. pro sports.,Won 11 championships in 13 NBA seasons.
,Nikola Jokić,C,ALL_STAR,4,0.15,Finished third in Rookie of the Year voting.,Couldn't do a single push-up in high school.,Drank around three liters of Coke before practices.,2015-present,Finished second for Most Improved Player the very next season.,The 41st pick became the lowest-drafted NBA MVP.,First player with 30/20/10 in an NBA Finals game.
,David Robinson,C,ALL_STAR,4,0.15,Led Division I in rebounding as a college junior.,Played only six games in one NBA season.,Had only one year of varsity basketball experience before college.,1989-2003,Recorded a 34/10/10/10 quadruple-double.,Scored 71 on the final day to beat Shaq for the scoring title.,Won a championship in his final NBA season beside Tim Duncan.
,Patrick Ewing,C,ALL_STAR,4,0.15,Won Rookie of the Year while playing only 50 games.,Missed the 1999 Finals after an Achilles injury.,Grew up playing cricket and soccer before basketball.,1985-2002,Stayed four college years and earned a Fine Arts degree.,Became the No. 1 pick in the first-ever NBA Draft Lottery.,"Retired as Knicks leader in points, rebounds, blocks and steals."
,Moses Malone,C,ALL_STAR,4,0.15,Played 83 games as a professional rookie.,Changed teams twice before his third NBA game.,Entered pro basketball around 6'10 and only 215 pounds.,1976-1995,Skipped college and went straight from high school to the ABA.,Predicted “Fo' Fo' Fo'” before the 1983 playoffs.,Won MVP and Finals MVP as Philadelphia went 12-1.
,Dwight Howard,C,ALL_STAR,4,0.15,"Posted a 20-point, 20-rebound game as a teenager.",Shot 56.7% from the line for his career.,Entered the NBA directly from high school.,2004-2022,Won the Dunk Contest wearing a Superman cape.,Won three straight Defensive Player of the Year awards.,Set a Finals record with nine blocks in one game.
,Joel Embiid,C,ALL_STAR,4,0.15,Set Kansas freshman records for blocks and field-goal percentage.,Missed his first two NBA seasons entirely.,Didn't start playing basketball until age 16.,2016-present,Luc Mbah a Moute discovered him at a Cameroon camp.,"Became “The Process,” then eventually won MVP.",Scored 70 to break Wilt's 76ers franchise record.
,Yao Ming,C,ALL_STAR,4,0.15,Played all 82 games as an NBA rookie.,Scored 0 points in his NBA debut.,Both of his parents played professional basketball.,2002-2011,Became the first international player selected No. 1 overall.,Blocked Shaq's first three shots in their first meeting.,Barkley kissed a donkey after losing a bet about him.
,Dikembe Mutombo,C,ALL_STAR,4,0.15,Won the NBA's citizenship award twice.,Averaged under 10 PPG across an 18-year career.,Is fluent in nine languages.,1991-2009,Arrived at Georgetown on an academic scholarship intending pre-med.,"Led the first 8-seed to beat a 1-seed, with 31 series blocks.",Won four DPOYs and made the finger wag his trademark.
,Alonzo Mourning,C,ALL_STAR,4,0.15,First high schooler invited to try out for the U.S. Olympic team.,Played only 13 games in the 2000-01 season.,Was already six feet tall at age 11.,1992-2008,Returned to the NBA after receiving a kidney transplant.,Won back-to-back DPOYs and became Miami's blocks leader.,Came off the bench to help Miami win the 2006 title.
,Ben Wallace,C,ALL_STAR,4,0.15,Played 500+ NBA games after going undrafted.,Averaged only 5.7 PPG for his career.,Was the 10th of 11 siblings and youngest of eight boys.,1996-2012,Boston Summer League tried converting him into a shooting guard.,Detroit acquired him in the Grant Hill sign-and-trade.,Became the first modern undrafted Hall of Famer after winning four DPOYs.
,Marc Gasol,C,SOLID,3,0.35,Played all 82 games as a rookie.,Fell to the 48th pick.,Played two years of high-school basketball in Memphis.,2008-2021,His draft rights were traded for his older brother.,Won DPOY but somehow made only All-Defensive Second Team.,Won an NBA title and FIBA World Cup in the same year.
,Joakim Noah,C,SOLID,3,0.35,Had a 14-assist triple-double from the center spot.,Shot with a famously sideways-spinning release.,Woke up at 4 a.m. in France to watch the Knicks in the Finals.,2007-2020,One parent won a tennis Grand Slam; the other was a beauty queen.,Won back-to-back NCAA championships.,Won DPOY and made All-NBA First Team in 2014.
,Tyson Chandler,C,SOLID,3,0.35,"Played 1,160 NBA games.",Averaged only 8.2 PPG for his career.,Grew up milking cows and slopping pigs on a family farm.,2001-2020,Jumped directly from high school to the No. 2 pick.,Won DPOY the season after winning a championship.,"Started for the 2011 champs, then won Olympic gold a year later."
,Brook Lopez,C,SOLID,3,0.35,Recorded a college triple-double with 12 blocks.,Played only five games in one NBA season.,Majored in creative writing and writes his own comics.,2008-present,Studied a textbook because he wanted to build a roller coaster.,Became his franchise's scoring leader in his final game there.,His twin brother also became a longtime NBA center.
,DeAndre Jordan,C,SOLID,3,0.35,Led the NBA in rebounding twice.,Shot 47.5% from the line for his career.,Got early access to an unreleased Call of Duty as an avid gamer.,2008-present,Fell to the 35th pick after one college season.,His Brandon Knight alley-oop trended worldwide for nearly a day.,Made All-NBA First Team and won Olympic gold in 2016.
,Andrew Bogut,C,SOLID,3,0.35,Averaged 26.3 points and 17 rebounds at a U19 World Championship.,Never made an NBA All-Star team.,His childhood basketball idol was Dražen Petrović.,2005-2019,Won both the Naismith and Wooden awards at Utah.,Became the first Australian selected No. 1 overall.,Reinvented himself as the starting center on the 2015 Warriors champions.
,Steven Adams,C,SOLID,3,0.35,Led the NBA in offensive rebounding in consecutive seasons.,Never made an NBA All-Star team.,"His favorite movie is Nacho Libre, and he plays guitar.",2013-present,Is one of 18 siblings; six played basketball for New Zealand.,His half-sister won two Olympic shot-put gold medals.,OKC drafted him with a first-rounder acquired in the James Harden trade.
,Jonas Valančiūnas,C,SOLID,3,0.35,Posted a double-double in his first NBA game.,Attempted only four threes across his first five seasons.,Stayed overseas for a year after being drafted.,2012-present,"Went fifth overall, then 17 days later won U19 World Cup MVP.","Became only the second Lithuanian-born player with 10,000 NBA points.",Toronto eventually included him in the Marc Gasol trade.
,Arvydas Sabonis,C,SOLID,3,0.35,Averaged 16 and 10 in an NBA season at age 33.,Played only eight NBA seasons.,Spent most of his prime playing professionally outside the NBA.,1995-2003,Made an NBA All-Rookie team at age 31.,"Won Olympic gold for the USSR, then bronze for Lithuania.",His son became NBA All-Star Domantas Sabonis.
,Vlade Divac,C,SOLID,3,0.35,"Played more than 1,100 NBA games.",Never won an NBA championship.,Arrived in the NBA barely able to speak English.,1989-2005,Magic Johnson took him under his wing in Los Angeles.,Became famous for brilliant passing — and for selling contact.,The Lakers traded him for the draft rights to Kobe Bryant.
,Zydrunas Ilgauskas,C,SOLID,3,0.35,Played all 82 games in his first season on an NBA court.,Missed his original rookie season entirely.,Joked that his hometown produced seven-footers because of a nuclear plant.,1997-2011,Won MVP of the NBA's Rookie Challenge.,Became a two-time All-Star and had No. 11 retired.,"Finished Cleveland's run as its leader in games, rebounds and blocks."
,Brad Miller,C,SOLID,3,0.35,Lasted 15 NBA seasons after going undrafted.,Averaged only 11.2 PPG for his career.,Began his pro career in Italy during the NBA lockout.,1999-2012,Made Team USA partly because a seven-footer could pass and shoot threes.,Eventually became a two-time NBA All-Star.,Was the center involved in Shaq's infamous 2002 swing and suspension.
,Mehmet Okur,C,SOLID,3,0.35,Scored 43 points in an NBA game.,Fell to the 38th pick.,A 6'11 center commonly known simply as “Memo.”,2002-2012,Earned “Money Man” for repeatedly hitting late-game jumpers.,Won an NBA championship in only his second season.,Became the first Turkish NBA All-Star.
,Marcus Camby,C,SOLID,3,0.35,Led the NBA in blocks four different times.,Never made an NBA All-Star team.,Played three college seasons at UMass.,1996-2013,Won National Player of the Year while leading a 35-2 Final Four team.,Went No. 2 overall in the loaded 1996 draft.,Won DPOY and also reached the Finals with the 1999 eighth-seeded Knicks.
,Al Jefferson,C,SOLID,3,0.35,Averaged 42.6 points and 18 rebounds as a high-school senior.,Never made an NBA All-Star team.,"Committed to Arkansas, then skipped college entirely.",2004-2018,Boston drafted him 15th directly from high school.,Became the centerpiece Minnesota received for Kevin Garnett.,Made All-NBA Third Team in Charlotte without ever being an All-Star.
,Roy Hibbert,C,SOLID,3,0.35,Made two NBA All-Star teams.,Had a playoff game with 0 points and 0 rebounds.,Appeared as himself on Parks and Recreation.,2008-2017,Arrived at Georgetown as a raw project and stayed all four years.,Bought 55 season tickets every year for his “Area 55” fan section.,Became the giant defensive anchor of Indiana's battles with the Heat.
,Nenê,C,SOLID,3,0.35,Shot 61.5% from the field over a full NBA season.,Never made an NBA All-Star team.,“Nenê” means “Baby” in Portuguese.,2002-2019,"Drafted seventh by New York, then traded to Denver that same night.",Returned from cancer treatment and posted career-best numbers the next season.,His original full name was Maybyner Rodney Hilário.
,Marcin Gortat,C,SOLID,3,0.35,Appeared in all 24 playoff games during a Finals run.,Started only five of his first 175 NBA games.,Didn't start basketball until 18; he had been a soccer goalkeeper.,2008-2019,His father won two Olympic boxing medals; his mother played national-team volleyball.,Became known as the “Polish Hammer.”,"Spent years backing up Dwight Howard, then broke out running with Steve Nash."
,Andre Drummond,C,SOLID,3,0.35,Had 45 career 20/20 games by age 30.,Averaged only 10.0 PPG in his lone college season.,Loved math and computers and released several rap tracks.,2012-present,Detroit drafted him ninth overall after one UConn season.,Led the NBA in rebounding four times.,Set the NBA record by missing 23 free throws in one game.
,Nikola Vučević,C,SOLID,3,0.35,Grabbed 29 rebounds in one NBA game.,Averaged just 2.6 PPG as a college freshman.,Loves house/techno music and has talked about broadcasting after basketball.,2011-present,"Born in Switzerland, raised in Belgium, then moved to Montenegro.",His father played professionally for 24 years; his mother also played professionally.,Orlando specifically targeted him in the Dwight Howard mega-trade.
,JaVale McGee,C,BENCH,2,0.3,Ranked 14th nationally with 2.79 blocks per game in college.,Shot 60.4% from the line for his NBA career.,Went 18th overall after only two college seasons.,2008-2024,Finished college with 122 blocks in only two seasons.,Dunked three basketballs on one jump for a Guinness record.,Became half of the first mother-son Olympic basketball gold duo.
,Kendrick Perkins,C,BENCH,2,0.3,Shot 53.0% from the field for his NBA career.,Averaged only 5.4 PPG for his career.,Entered the NBA directly from high school.,"2003-2016, 2018",Was nicknamed “Baby Shaq” in high school.,Committed to John Calipari at Memphis before choosing the NBA.,"Memphis drafted him, then immediately traded his rights to Boston."
,Zaza Pachulia,C,BENCH,2,0.3,"Played 1,098 NBA games.",Averaged only 6.8 PPG across 16 seasons.,Went 42nd overall in the 2003 draft.,2003-2019,Began playing professionally in Turkey as a teenager.,Founded a basketball academy in his hometown.,Was born Zaur before legally changing his first name.
,Chris Andersen,C,BENCH,2,0.3,Finished second in the NBA in blocks in one season.,Averaged only 5.4 PPG across 15 NBA seasons.,Played just one season of junior-college basketball.,"2001-2006, 2008-2017",Was the first overall pick in the D-League draft.,Became the D-League's first-ever NBA call-up.,Got his famous nickname from teammates during 2002 summer league.
,Robin Lopez,C,BENCH,2,0.3,Played 992 NBA games.,Averaged only 4.7 rebounds per game as a center.,Played college basketball alongside his twin brother.,2008-2024,His mother was a world-ranked swimmer.,Writes comics and once attended Comic-Con in costume.,Wouldn't live with his twin because their cats hated each other.
,Mason Plumlee,C,BENCH,2,0.3,Shot 59.6% from the field for his NBA career.,Shot just 57.7% from the free-throw line.,Went 22nd overall after four college seasons.,2013-present,Was a two-time First-Team Academic All-American.,Three brothers from his family shared one Division I roster.,Blocked LeBron at the rim to complete a 4-0 season sweep.
,Bismack Biyombo,C,BENCH,2,0.3,Averaged 1.3 blocks in under 20 minutes per game.,Shot 55.2% from the line for his career.,Didn't start playing basketball until age 13.,2011-present,"Measured a 7'7"" wingspan while under 6'8"" barefoot.",Pledged an entire season's salary to build a hospital.,Posted the first triple-double in Nike Hoop Summit history.
,Nerlens Noel,C,BENCH,2,0.3,Averaged 1.8 steals and 1.9 blocks as a rookie.,Missed his entire first NBA season.,Reclassified from the high-school class of 2013 to 2012.,2014-2023,"Was the No. 1 recruit in his class, then went sixth.",Revealed his college choice shaved into his flat-top.,Set a school record with 12 blocks in one game.
,Tiago Splitter,C,BENCH,2,0.3,Shot 55.5% from the field for his NBA career.,Played only 355 NBA regular-season games.,Was drafted in 2007 but debuted in the NBA in 2010.,2010-2017,Left Brazil for Spain alone at age 15.,Obtained Spanish citizenship to count as a domestic player.,Became the first Brazilian-born NBA champion.
,Aron Baynes,C,BENCH,2,0.3,Shot 79.4% from the free-throw line for his NBA career.,Averaged only 6.0 PPG for his career.,Was born in New Zealand and raised in Australia.,2013-2021,Played rugby league before starting basketball at 15.,Won a Lithuanian league Slam Dunk Contest.,"Once posted 37 points, 16 rebounds and nine threes."
,Nazr Mohammed,C,BENCH,2,0.3,"Played 1,005 NBA games across 18 seasons.",Averaged only 5.8 PPG for his career.,Arrived at college weighing roughly 315 pounds.,1999-2016,Won two NCAA championships in three college seasons.,"Utah drafted him, then immediately traded his rights.",Earned his degree 22 years after leaving for the NBA.
,Rasho Nesterović,C,BENCH,2,0.3,Led EuroBasket in rebounding at 8.6 per game.,Shot 58.5% from the line for his NBA career.,Obtained citizenship in a second European country.,1999-2010,Played under the legal name Radoslav “Rasho” Makris.,His first NBA three was a pump-fake buzzer-beater.,Toronto fans nicknamed him “Nestea.”
,Joel Przybilla,C,BENCH,2,0.3,Averaged 6.2 rebounds and 1.4 blocks for his career.,Averaged only 3.9 PPG for his career.,Went ninth overall in the 2000 draft.,2000-2012,Left college after being suspended for repeatedly skipping classes.,Once grabbed 26 rebounds in an NBA game.,"Was nicknamed “Vanilla Gorilla,” “Ghostface,” and “The Thrilla.”"
,Kosta Koufos,C,BENCH,2,0.3,Shot 53.4% from the field for his NBA career.,Shot 58.2% from the free-throw line.,Was born in Ohio but represented Greece internationally.,2008-2019,Was traded with two first-rounders for a 20-point scorer.,Won NIT MVP as a college freshman.,"Led a U18 EuroBasket in points, rebounds and blocks."
,Ian Mahinmi,C,BENCH,2,0.3,Shot 53.3% from the field for his NBA career.,Averaged only 5.2 PPG for his career.,Was born in France to Beninese and Jamaican parents.,2007-2020,Preferred soccer as a kid before switching to basketball.,Went first round at 18 after averaging about six points.,Hit a buzzer-beater in the title-clinching 2011 Finals game.
,Marreese Speights,C,BENCH,2,0.3,Shot 79.7% from the free-throw line for his NBA career.,Started fewer than 80 games across a 10-year career.,Spent his final prep season at a military academy.,2008-2018,His instant scoring earned him the nickname “Mo' Buckets.”,"Made 43 threes in eight seasons, then 103 in one.",Scored 22 points in 18 minutes in a 2016 playoff game.
,Cody Zeller,C,BENCH,2,0.3,Posted a 35.5-inch max vertical at the NBA combine.,His measured wingspan was shorter than his height.,Both of his older brothers also reached the NBA.,2013-2024,Earned First-Team Academic All-America honors in college.,Was the third brother in his family to win Indiana Mr. Basketball.,His NBA nickname was simply “The Big Handsome.”
,Dewayne Dedmon,C,BENCH,2,0.3,Shot 52.6% from the field for his NBA career.,Averaged 1.4 points as a high-school senior.,Began college at a community college before reaching USC.,2013-2023,Played for three NBA teams during his rookie season.,Didn't begin organized basketball until age 18.,His “Mechanic” nickname matched his real garage-work background.
,Ömer Aşık,C,BENCH,2,0.3,Averaged 11.7 rebounds in his only full season as a starter.,Shot 55.1% from the free-throw line for his career.,Played five pro seasons in Turkey before reaching the NBA.,2010-2018,"Portland drafted him, then immediately traded his rights to Chicago.",A broadcaster nicknamed him “Aşık and Destroy.”,"Went from backup, to double-double starter, back to backup."
,Anderson Varejão,C,BENCH,2,0.3,Made an NBA All-Defensive Second Team.,Shot 2.3% from three for his career.,Went 30th overall after starting his career overseas.,"2004-2017, 2021",Cleveland initially viewed him as a throw-in in a trade.,Entered the NBA at 22 while learning a new language.,Cleveland once gave every fan a replica of his hair.
,Kwame Brown,C,BUST,1,0.15,Played 607 NBA games across 12 seasons.,Averaged only 6.6 PPG for his career.,Originally committed to play college basketball at Florida.,2001-2013,Grew up with seven siblings and planned to buy his mother a house.,Became the first high-school player ever drafted No. 1.,The executive who drafted him became his teammate months later.
,Hasheem Thabeet,C,BUST,1,0.15,Set UConn's single-game blocks record three different times.,Averaged only 2.2 PPG across 224 NBA games.,Grew up playing soccer and started basketball at 15.,2009-2014,A coach noticed him while he walked past a basketball court.,Became a two-time National Defensive Player of the Year.,The No. 2 pick was sent to the D-League as a rookie.
,Darko Miličić,C,BUST,1,0.15,Played 468 NBA games and averaged 1.3 blocks.,Averaged 1.4 PPG as an NBA rookie.,"Was a seven-foot, left-handed prospect from Serbia.",2003-2013,His team's draft pick came from a trade made six years earlier.,Became the youngest player ever to win an NBA championship.,"After basketball, tried kickboxing before becoming an apple farmer."
,Michael Olowokandi,C,BUST,1,0.15,Started all 82 games in one NBA season.,Shot just 43.5% from the field for his career.,Was born in Nigeria and raised in London.,1999-2007,"Studied engineering while competing in rugby, cricket and track.",First touched a basketball at 17 and started at 18.,Somehow became the No. 1 overall pick.
,Greg Oden,C,BUST,1,0.15,"Averaged 15.7 points, 9.6 rebounds and 3.3 blocks in college.",Played only 105 NBA regular-season games.,Won three straight state championships in high school.,"2008-2010, 2014",Dropped 25 and 12 in the NCAA championship game.,Learned to shoot free throws left-handed after injuring his right wrist.,"Went No. 1 overall, then missed his entire first NBA season."
,Rafael Araújo,C,BUST,1,0.15,Averaged 18.4 points and 10.1 rebounds as a college senior.,Averaged 2.8 PPG across only 139 NBA games.,Spent his first two U.S. college seasons at a junior college.,2004-2007,"Arrived in America speaking no English, then graduated in four years.",Became conference co-Player of the Year and an All-American.,Toronto still took him eighth overall in 2004.
,Jahlil Okafor,C,BUST,1,0.15,Became the first freshman ever named ACC Player of the Year.,Has played fewer than 250 NBA games.,"Plays chess, saxophone and tuba.","2015-2021, 2025",Won three different youth gold medals with Team USA.,Won a national championship after shooting 66.4% in college.,Went third overall after being ranked No. 1 for years.
,James Wiseman,C,BUST,1,0.15,"Averaged 19.7 points, 10.7 rebounds and 3 blocks in college.",His entire college career lasted only three games.,Studied Mandarin in high school and can speak it.,"2020-2021, 2022-present",Penny Hardaway coached him in high school and college.,"Penny Hardaway's $11,500 moving assistance triggered an NCAA case.",Golden State still drafted him second overall in 2020.
,Patrick O'Bryant,C,BUST,1,0.15,Averaged 2.9 blocks per game in his final college season.,Scored only 2.1 PPG across 90 NBA games.,Played just two college seasons.,2006-2010,Helped a No. 13 seed reach its first Sweet 16 in 51 years.,Dropped 28 points to eliminate a No. 5 seed.,A Sweet 16 run propelled him to the No. 9 pick.
,Mouhamed Sene,C,BUST,1,0.15,Won D-League Co-Defensive Player of the Year.,Played only 47 NBA games.,Played professionally in Belgium before reaching the NBA.,2006-2009,"Measured a ridiculous 7'8.5"" wingspan.",Had nine blocks in 27 minutes at the Nike Hoop Summit.,Had been studying to become a mechanic before basketball took off.
,Robert Swift,C,BUST,1,0.15,Shot 50.6% from the field for his NBA career.,Played only 97 NBA games.,Committed to USC before entering the NBA from high school.,"2004-2006, 2007-2009",Transferred high schools twice and faced an eligibility hearing.,Reportedly skipped predraft workouts because Boston promised pick 15.,Seattle drafted him 12th despite Boston promising pick 15.
,Georgios Papagiannis,C,BUST,1,0.15,Shot 85.7% from the line during his NBA career.,Played only 39 NBA games.,Spent part of high school in Pennsylvania.,2016-2018,Made his country's top professional league debut at age 14.,Became Greece's youngest modern-era top-league player.,"Was ranked around 46th by one draft board, then went 13th."
,Cole Aldrich,C,BUST,1,0.15,"Recorded 13 points, 20 rebounds and 10 blocks in March Madness.",Averaged only 3.1 PPG for his NBA career.,Won an NCAA championship before becoming a full-time starter.,2010-2018,Recorded the first official triple-double in his school's history.,Had two 20-rebound games at Kansas.,"Went 11th overall, then started only 19 NBA games."
,Alexis Ajinça,C,BUST,1,0.15,Shot 79.7% from the line for his NBA career.,Averaged only 5.3 PPG across seven NBA seasons.,"Stood 7'2"" but originally cared more about another sport.","2008-2011, 2013-2017",Was a high-level BMX racer as a child.,Started basketball because he thought it would improve his BMX jumps.,Eventually became the 20th pick in the NBA Draft.
,Jérôme Moïso,C,BUST,1,0.15,Was named Europe's top junior center at age 18.,Averaged only 2.7 PPG across 145 NBA games.,Was a left-handed prospect born in Paris.,2000-2005,Played for France's senior national team before attending college.,Moved to an American prep school partly to improve his English.,Boston still selected him 11th overall after only two college seasons.
